year,month,state,frequency,sentiment
2012,11,AZ,0.0,
2012,12,AZ,0.0,
2013,1,AZ,0.0,
2013,2,AZ,0.0,
2013,3,AZ,0.0,
2013,4,AZ,0.0,
2013,5,AZ,0.0,
2013,6,AZ,0.0,
2013,7,AZ,0.0,
2013,8,AZ,0.0,
2013,9,AZ,0.0,
2013,10,AZ,0.0,
2013,11,AZ,0.0,
2013,12,AZ,0.0,
2014,1,AZ,0.0,
2014,2,AZ,0.0,
2014,3,AZ,0.0,
2014,4,AZ,0.0,
2014,5,AZ,0.0,
2014,6,AZ,0.0,
2014,7,AZ,0.0,
2014,8,AZ,0.0,
2014,9,AZ,0.0,
2014,10,AZ,0.0,
2014,11,AZ,0.0,
2014,12,AZ,0.0,
2015,1,AZ,0.0,
2015,2,AZ,0.0,
2015,3,AZ,0.0,
2015,4,AZ,0.0,
2015,5,AZ,0.0,
2015,6,AZ,0.0,
2015,7,AZ,0.0,
2015,8,AZ,0.0,
2015,9,AZ,0.0,
2015,10,AZ,0.0,
2015,11,AZ,0.0,
2015,12,AZ,0.0,
2016,1,AZ,0.0,
2016,2,AZ,0.0,
2016,3,AZ,0.0,
2016,4,AZ,0.0,
2016,5,AZ,0.0,
2016,6,AZ,0.0,
2016,7,AZ,0.0,
2016,8,AZ,0.0,
2016,9,AZ,0.0,
2016,10,AZ,0.0,
2016,11,AZ,0.0,
2016,12,AZ,0.0,
2017,1,AZ,0.0,
2017,2,AZ,0.0,
2017,3,AZ,0.0,
2017,4,AZ,0.0,
2017,5,AZ,0.0,
2017,6,AZ,0.0,
2017,7,AZ,10.0,0.0242424242424242
2017,8,AZ,4.0,0.124166666666667
2017,9,AZ,9.0,0.145707070707071
2017,10,AZ,4.0,0.109375
2017,11,AZ,2.0,0.0166666666666667
2017,12,AZ,3.0,0.1025
2018,1,AZ,6.0,0.172268518518519
2018,2,AZ,3.0,0.0606818181818182
2018,3,AZ,5.0,0.0927604166666667
2018,4,AZ,7.0,0.0111904761904762
2018,5,AZ,7.0,0.220698051948052
2018,6,AZ,4.0,0.00666666666666667
2018,7,AZ,2.0,0.115625
2018,8,AZ,6.0,0.0504960317460317
2018,9,AZ,2.0,0.0
2018,10,AZ,8.0,0.30625
2018,11,AZ,0.0,
2018,12,AZ,0.0,
2019,1,AZ,0.0,
2019,2,AZ,0.0,
2019,3,AZ,0.0,
2019,4,AZ,0.0,
2019,5,AZ,0.0,
2019,6,AZ,9.0,0.203888888888889
2019,7,AZ,7.0,0.156619769119769
2019,8,AZ,0.0,
2019,9,AZ,0.0,
2019,10,AZ,0.0,
2019,11,AZ,0.0,
2019,12,AZ,0.0,
2020,1,AZ,0.0,
2012,1,AR,0.0,
2012,2,AR,0.0,
2012,3,AR,0.0,
2012,4,AR,0.0,
2012,5,AR,0.0,
2012,6,AR,0.0,
2012,7,AR,0.0,
2012,8,AR,0.0,
2012,9,AR,0.0,
2012,10,AR,0.0,
2012,11,AR,0.0,
2012,12,AR,0.0,
2013,1,AR,0.0,
2013,2,AR,0.0,
2013,3,AR,0.0,
2013,4,AR,0.0,
2013,5,AR,0.0,
2013,6,AR,0.0,
2013,7,AR,0.0,
2013,8,AR,0.0,
2013,9,AR,0.0,
2013,10,AR,0.0,
2013,11,AR,0.0,
2013,12,AR,0.0,
2014,1,AR,0.0,
2014,2,AR,0.0,
2014,3,AR,0.0,
2014,4,AR,0.0,
2014,5,AR,0.0,
2014,6,AR,0.0,
2014,7,AR,0.0,
2014,8,AR,0.0,
2014,9,AR,0.0,
2014,10,AR,0.0,
2014,11,AR,0.0,
2014,12,AR,0.0,
2015,1,AR,0.0,
2015,2,AR,0.0,
2015,3,AR,0.0,
2015,4,AR,0.0,
2015,5,AR,0.0,
2015,6,AR,0.0,
2015,7,AR,0.0,
2015,8,AR,0.0,
2015,9,AR,0.0,
2015,10,AR,0.0,
2015,11,AR,0.0,
2015,12,AR,0.0,
2016,1,AR,0.0,
2016,2,AR,0.0,
2016,3,AR,0.0,
2016,4,AR,0.0,
2016,5,AR,0.0,
2016,6,AR,0.0,
2016,7,AR,0.0,
2016,8,AR,0.0,
2016,9,AR,0.0,
2016,10,AR,0.0,
2016,11,AR,0.0,
2016,12,AR,0.0,
2017,1,AR,0.0,
2017,2,AR,0.0,
2017,3,AR,0.0,
2017,4,AR,0.0,
2017,5,AR,0.0,
2017,6,AR,0.0,
2017,7,AR,3.0,0.0533333333333333
2017,8,AR,0.0,
2017,9,AR,0.0,
2017,10,AR,2.0,0.4
2017,11,AR,1.0,0.0
2017,12,AR,0.0,
2018,1,AR,0.0,
2018,2,AR,1.0,0.0
2018,3,AR,6.0,0.1
2018,4,AR,4.0,0.0375
2018,5,AR,0.0,
2018,6,AR,1.0,0.0
2018,7,AR,0.0,
2018,8,AR,2.0,0.0
2018,9,AR,6.0,0.0568181818181818
2018,10,AR,5.0,0.0
2018,11,AR,0.0,
2018,12,AR,0.0,
2019,1,AR,0.0,
2019,2,AR,0.0,
2019,3,AR,0.0,
2019,4,AR,0.0,
2019,5,AR,0.0,
2019,6,AR,2.0,0.197916666666667
2019,7,AR,2.0,0.0958333333333333
2019,8,AR,0.0,
2019,9,AR,0.0,
2019,10,AR,0.0,
2019,11,AR,0.0,
2019,12,AR,0.0,
2020,1,AR,0.0,
2012,1,CA,0.0,
2012,2,CA,0.0,
2012,3,CA,0.0,
2012,4,CA,0.0,
2012,5,CA,0.0,
2012,6,CA,0.0,
2012,7,CA,0.0,
2012,8,CA,0.0,
2012,9,CA,0.0,
2012,10,CA,0.0,
2012,11,CA,0.0,
2012,12,CA,0.0,
2013,1,CA,0.0,
2013,2,CA,0.0,
2013,3,CA,0.0,
2013,4,CA,0.0,
2013,5,CA,0.0,
2013,6,CA,0.0,
2013,7,CA,0.0,
2013,8,CA,0.0,
2013,9,CA,0.0,
2013,10,CA,0.0,
2013,11,CA,0.0,
2013,12,CA,0.0,
2014,1,CA,0.0,
2014,2,CA,0.0,
2014,3,CA,0.0,
2014,4,CA,0.0,
2014,5,CA,0.0,
2014,6,CA,0.0,
2014,7,CA,0.0,
2014,8,CA,0.0,
2014,9,CA,0.0,
2014,10,CA,0.0,
2014,11,CA,0.0,
2014,12,CA,0.0,
2015,1,CA,0.0,
2015,2,CA,0.0,
2015,3,CA,0.0,
2015,4,CA,0.0,
2015,5,CA,0.0,
2015,6,CA,0.0,
2015,7,CA,0.0,
2015,8,CA,0.0,
2015,9,CA,0.0,
2015,10,CA,0.0,
2015,11,CA,0.0,
2015,12,CA,0.0,
2016,1,CA,0.0,
2016,2,CA,0.0,
2016,3,CA,0.0,
2016,4,CA,0.0,
2016,5,CA,0.0,
2016,6,CA,0.0,
2016,7,CA,0.0,
2016,8,CA,0.0,
2016,9,CA,0.0,
2016,10,CA,0.0,
2016,11,CA,0.0,
2016,12,CA,0.0,
2017,1,CA,0.0,
2017,2,CA,0.0,
2017,3,CA,0.0,
2017,4,CA,0.0,
2017,5,CA,0.0,
2017,6,CA,0.0,
2017,7,CA,30.0,0.191093163780664
2017,8,CA,62.0,0.0746823069403715
2017,9,CA,24.0,0.175972222222222
2017,10,CA,32.0,0.232776988636364
2017,11,CA,25.0,0.0957712121212121
2017,12,CA,23.0,0.183874615722442
2018,1,CA,20.0,0.0770090909090909
2018,2,CA,40.0,0.093125946969697
2018,3,CA,61.0,0.171309878645944
2018,4,CA,35.0,0.195612244897959
2018,5,CA,21.0,0.133037518037518
2018,6,CA,19.0,0.104618079289132
2018,7,CA,18.0,0.166228956228956
2018,8,CA,25.0,0.191486904761905
2018,9,CA,34.0,0.190370525103981
2018,10,CA,12.0,0.175306637806638
2018,11,CA,0.0,
2018,12,CA,0.0,
2019,1,CA,0.0,
2019,2,CA,0.0,
2019,3,CA,0.0,
2019,4,CA,0.0,
2019,5,CA,0.0,
2019,6,CA,26.0,0.144347666222666
2019,7,CA,53.0,0.116219720792834
2019,8,CA,0.0,
2019,9,CA,0.0,
2019,10,CA,0.0,
2019,11,CA,0.0,
2019,12,CA,0.0,
2020,1,CA,0.0,
2012,1,CO,0.0,
2012,2,CO,0.0,
2012,3,CO,0.0,
2012,4,CO,0.0,
2012,5,CO,0.0,
2012,6,CO,0.0,
2012,7,CO,0.0,
2012,8,CO,0.0,
2012,9,CO,0.0,
2012,10,CO,0.0,
2012,11,CO,0.0,
2012,12,CO,0.0,
2013,1,CO,0.0,
2013,2,CO,0.0,
2013,3,CO,0.0,
2013,4,CO,0.0,
2013,5,CO,0.0,
2013,6,CO,0.0,
2013,7,CO,0.0,
2013,8,CO,0.0,
2013,9,CO,0.0,
2013,10,CO,0.0,
2013,11,CO,0.0,
2013,12,CO,0.0,
2014,1,CO,0.0,
2014,2,CO,0.0,
2014,3,CO,0.0,
2014,4,CO,0.0,
2014,5,CO,0.0,
2014,6,CO,0.0,
2014,7,CO,0.0,
