year,month,state,frequency,sentiment
2012,5,AZ,0.0,
2012,6,AZ,0.0,
2012,7,AZ,0.0,
2012,8,AZ,0.0,
2012,9,AZ,0.0,
2012,10,AZ,0.0,
2012,11,AZ,0.0,
2012,12,AZ,0.0,
2013,1,AZ,0.0,
2013,2,AZ,0.0,
2013,3,AZ,0.0,
2013,4,AZ,0.0,
2013,5,AZ,0.0,
2013,6,AZ,0.0,
2013,7,AZ,0.0,
2013,8,AZ,0.0,
2013,9,AZ,0.0,
2013,10,AZ,0.0,
2013,11,AZ,0.0,
2013,12,AZ,0.0,
2014,1,AZ,0.0,
2014,2,AZ,0.0,
2014,3,AZ,0.0,
2014,4,AZ,0.0,
2014,5,AZ,0.0,
2014,6,AZ,0.0,
2014,7,AZ,0.0,
2014,8,AZ,0.0,
2014,9,AZ,0.0,
2014,10,AZ,0.0,
2014,11,AZ,0.0,
2014,12,AZ,0.0,
2015,1,AZ,0.0,
2015,2,AZ,0.0,
2015,3,AZ,0.0,
2015,4,AZ,0.0,
2015,5,AZ,0.0,
2015,6,AZ,0.0,
2015,7,AZ,0.0,
2015,8,AZ,0.0,
2015,9,AZ,0.0,
2015,10,AZ,0.0,
2015,11,AZ,0.0,
2015,12,AZ,0.0,
2016,1,AZ,0.0,
2016,2,AZ,0.0,
2016,3,AZ,0.0,
2016,4,AZ,0.0,
2016,5,AZ,0.0,
2016,6,AZ,0.0,
2016,7,AZ,0.0,
2016,8,AZ,0.0,
2016,9,AZ,0.0,
2016,10,AZ,0.0,
2016,11,AZ,0.0,
2016,12,AZ,0.0,
2017,1,AZ,0.0,
2017,2,AZ,0.0,
2017,3,AZ,0.0,
2017,4,AZ,0.0,
2017,5,AZ,0.0,
2017,6,AZ,0.0,
2017,7,AZ,24.0,0.0189025673400673
2017,8,AZ,17.0,-0.0201593137254902
2017,9,AZ,33.0,-0.0266509794918886
2017,10,AZ,30.0,-0.0706092171717172
2017,11,AZ,17.0,0.0297794117647059
2017,12,AZ,26.0,-0.0440213634744885
2018,1,AZ,35.0,-0.0135084629089731
2018,2,AZ,16.0,0.01695254253848
2018,3,AZ,31.0,0.149774734673928
2018,4,AZ,46.0,-0.072890551477508
2018,5,AZ,23.0,0.0585777809147374
2018,6,AZ,19.0,0.0391519518493203
2018,7,AZ,8.0,0.0421626984126984
2018,8,AZ,14.0,0.0931299603174603
2018,9,AZ,11.0,-0.044992784992785
2018,10,AZ,6.0,0.0225198412698413
2018,11,AZ,0.0,
2018,12,AZ,0.0,
2019,1,AZ,0.0,
2019,2,AZ,0.0,
2019,3,AZ,0.0,
2019,4,AZ,0.0,
2019,5,AZ,0.0,
2019,6,AZ,3.0,0.315277777777778
2019,7,AZ,4.0,0.13030303030303
2019,8,AZ,0.0,
2019,9,AZ,0.0,
2019,10,AZ,0.0,
2019,11,AZ,0.0,
2019,12,AZ,0.0,
2020,1,AZ,0.0,
2012,1,AR,0.0,
2012,2,AR,0.0,
2012,3,AR,0.0,
2012,4,AR,0.0,
2012,5,AR,0.0,
2012,6,AR,0.0,
2012,7,AR,0.0,
2012,8,AR,0.0,
2012,9,AR,0.0,
2012,10,AR,0.0,
2012,11,AR,0.0,
2012,12,AR,0.0,
2013,1,AR,0.0,
2013,2,AR,0.0,
2013,3,AR,0.0,
2013,4,AR,0.0,
2013,5,AR,0.0,
2013,6,AR,0.0,
2013,7,AR,0.0,
2013,8,AR,0.0,
2013,9,AR,0.0,
2013,10,AR,0.0,
2013,11,AR,0.0,
2013,12,AR,0.0,
2014,1,AR,0.0,
2014,2,AR,0.0,
2014,3,AR,0.0,
2014,4,AR,0.0,
2014,5,AR,0.0,
2014,6,AR,0.0,
2014,7,AR,0.0,
2014,8,AR,0.0,
2014,9,AR,0.0,
2014,10,AR,0.0,
2014,11,AR,0.0,
2014,12,AR,0.0,
2015,1,AR,0.0,
2015,2,AR,0.0,
2015,3,AR,0.0,
2015,4,AR,0.0,
2015,5,AR,0.0,
2015,6,AR,0.0,
2015,7,AR,0.0,
2015,8,AR,0.0,
2015,9,AR,0.0,
2015,10,AR,0.0,
2015,11,AR,0.0,
2015,12,AR,0.0,
2016,1,AR,0.0,
2016,2,AR,0.0,
2016,3,AR,0.0,
2016,4,AR,0.0,
2016,5,AR,0.0,
2016,6,AR,0.0,
2016,7,AR,0.0,
2016,8,AR,0.0,
2016,9,AR,0.0,
2016,10,AR,0.0,
2016,11,AR,0.0,
2016,12,AR,0.0,
2017,1,AR,0.0,
2017,2,AR,0.0,
2017,3,AR,0.0,
2017,4,AR,0.0,
2017,5,AR,0.0,
2017,6,AR,0.0,
2017,7,AR,4.0,-0.15
2017,8,AR,2.0,0.090625
2017,9,AR,3.0,0.0375420875420875
2017,10,AR,7.0,-0.00823767006802722
2017,11,AR,2.0,0.0681818181818182
2017,12,AR,4.0,-0.191319444444444
2018,1,AR,5.0,0.299084896584897
2018,2,AR,5.0,0.0167857142857143
2018,3,AR,7.0,0.0553571428571429
2018,4,AR,20.0,-0.0474818121693122
2018,5,AR,4.0,0.0690298821548821
2018,6,AR,7.0,-0.00298069985569986
2018,7,AR,6.0,-0.0392402447089947
2018,8,AR,6.0,0.0606111111111111
2018,9,AR,1.0,0.0
2018,10,AR,1.0,-0.0601010101010101
2018,11,AR,0.0,
2018,12,AR,0.0,
2019,1,AR,0.0,
2019,2,AR,0.0,
2019,3,AR,0.0,
2019,4,AR,0.0,
2019,5,AR,0.0,
2019,6,AR,1.0,0.05
2019,7,AR,4.0,0.0438636363636364
2019,8,AR,0.0,
2019,9,AR,0.0,
2019,10,AR,0.0,
2019,11,AR,0.0,
2019,12,AR,0.0,
2020,1,AR,0.0,
2012,1,CA,0.0,
2012,2,CA,0.0,
2012,3,CA,0.0,
2012,4,CA,0.0,
2012,5,CA,0.0,
2012,6,CA,0.0,
2012,7,CA,0.0,
2012,8,CA,0.0,
2012,9,CA,0.0,
2012,10,CA,0.0,
2012,11,CA,0.0,
2012,12,CA,0.0,
2013,1,CA,0.0,
2013,2,CA,0.0,
2013,3,CA,0.0,
2013,4,CA,0.0,
2013,5,CA,0.0,
2013,6,CA,0.0,
2013,7,CA,0.0,
2013,8,CA,0.0,
2013,9,CA,0.0,
2013,10,CA,0.0,
2013,11,CA,0.0,
2013,12,CA,0.0,
2014,1,CA,0.0,
2014,2,CA,0.0,
2014,3,CA,0.0,
2014,4,CA,0.0,
2014,5,CA,0.0,
2014,6,CA,0.0,
2014,7,CA,0.0,
2014,8,CA,0.0,
2014,9,CA,0.0,
2014,10,CA,0.0,
2014,11,CA,0.0,
2014,12,CA,0.0,
2015,1,CA,0.0,
2015,2,CA,0.0,
2015,3,CA,0.0,
2015,4,CA,0.0,
2015,5,CA,0.0,
2015,6,CA,0.0,
2015,7,CA,0.0,
2015,8,CA,0.0,
2015,9,CA,0.0,
2015,10,CA,0.0,
2015,11,CA,0.0,
2015,12,CA,0.0,
2016,1,CA,0.0,
2016,2,CA,0.0,
2016,3,CA,0.0,
2016,4,CA,0.0,
2016,5,CA,0.0,
2016,6,CA,0.0,
2016,7,CA,0.0,
2016,8,CA,0.0,
2016,9,CA,0.0,
2016,10,CA,0.0,
2016,11,CA,0.0,
2016,12,CA,0.0,
2017,1,CA,0.0,
2017,2,CA,0.0,
2017,3,CA,0.0,
2017,4,CA,0.0,
2017,5,CA,0.0,
2017,6,CA,0.0,
2017,7,CA,91.0,0.0168129093129093
2017,8,CA,95.0,0.0345031138452191
2017,9,CA,107.0,-0.0202337769101788
2017,10,CA,81.0,0.00184470736168266
2017,11,CA,78.0,0.054448156010656
2017,12,CA,69.0,-0.0371794174273794
2018,1,CA,86.0,0.0724887894728011
2018,2,CA,77.0,0.0773617690480515
2018,3,CA,112.0,0.112256133292964
2018,4,CA,184.0,-0.0851377827838425
2018,5,CA,122.0,0.0745997349076243
2018,6,CA,98.0,0.0780580374840579
2018,7,CA,70.0,0.0462816472548615
